timestamp,open,high,low,close,volume
2023-04-20 14:25:00,126.7950,126.9200,126.6900,126.8900,46363
2023-04-20 14:20:00,126.7900,126.8100,126.6290,126.7800,30142
2023-04-20 14:15:00,126.6600,126.8700,126.6600,126.7900,66567
2023-04-20 14:10:00,126.7150,126.7150,126.4500,126.6700,66419
2023-04-20 14:05:00,126.5800,126.7400,126.5800,126.7000,32935
2023-04-20 14:00:00,126.7800,126.9100,126.5100,126.6100,60456
2023-04-20 13:55:00,126.8300,126.8400,126.6773,126.7800,44059
2023-04-20 13:50:00,126.9400,127.0000,126.7850,126.8400,38916
2023-04-20 13:45:00,126.8400,126.9500,126.7699,126.9400,118402
2023-04-20 13:40:00,126.7800,126.8900,126.7000,126.8550,52083
2023-04-20 13:35:00,126.8300,126.8700,126.6600,126.7900,44316
2023-04-20 13:30:00,126.5700,126.8300,126.5200,126.8200,81165
2023-04-20 13:25:00,126.8100,126.8500,126.5500,126.5500,77600
2023-04-20 13:20:00,126.9300,126.9300,126.7987,126.7987,45468
2023-04-20 13:15:00,126.9100,127.0200,126.8401,126.9130,50026
2023-04-20 13:10:00,127.0601,127.1100,126.8400,126.9001,45957
2023-04-20 13:05:00,127.0350,127.0782,126.9500,127.0600,34169
2023-04-20 13:00:00,127.1500,127.2200,127.0100,127.0350,39615
2023-04-20 12:55:00,127.2350,127.2400,127.0400,127.1500,66508
2023-04-20 12:50:00,127.1700,127.3000,127.1600,127.2350,51756
2023-04-20 12:45:00,127.2750,127.3599,127.0900,127.1400,48102
2023-04-20 12:40:00,127.1397,127.4400,127.1397,127.2600,67388
2023-04-20 12:35:00,127.1500,127.2400,127.0600,127.1400,75372
2023-04-20 12:30:00,126.9300,127.1600,126.9000,127.1600,72316
2023-04-20 12:25:00,126.9100,127.0300,126.8000,126.9300,93467
2023-04-20 12:20:00,126.9700,127.2100,126.8950,126.9094,119592
2023-04-20 12:15:00,127.0500,127.0900,126.7700,126.9800,256149
2023-04-20 12:10:00,127.2601,127.3800,127.0300,127.0500,46083
2023-04-20 12:05:00,127.5150,127.5900,127.2100,127.2850,65299
2023-04-20 12:00:00,127.7962,127.8600,127.3700,127.5150,98304
2023-04-20 11:55:00,127.7150,127.8800,127.6800,127.7800,57897
2023-04-20 11:50:00,127.6800,127.8100,127.6200,127.7250,84382
2023-04-20 11:45:00,127.8100,127.8500,127.4600,127.6800,114232
2023-04-20 11:40:00,128.1750,128.2000,127.8211,127.8496,81045
2023-04-20 11:35:00,128.3399,128.3400,128.0600,128.1800,99153
2023-04-20 11:30:00,128.6500,128.7300,128.3000,128.3200,109965
2023-04-20 11:25:00,128.9102,129.0100,128.6100,128.6100,160723
2023-04-20 11:20:00,128.8240,129.0100,128.6000,128.9600,123983
2023-04-20 11:15:00,128.6300,128.8800,128.3600,128.8400,150543
2023-04-20 11:10:00,128.0700,128.6990,128.0500,128.6200,152260
2023-04-20 11:05:00,127.8500,128.1505,127.8456,128.0650,138935
2023-04-20 11:00:00,127.7619,127.8531,127.5600,127.8000,99620
2023-04-20 10:55:00,127.5200,127.8590,127.4572,127.7985,97984
2023-04-20 10:50:00,127.1300,127.6495,127.1300,127.5450,143205
2023-04-20 10:45:00,127.0200,127.2000,126.8300,127.1200,138994
2023-04-20 10:40:00,126.4950,127.0700,126.4600,126.9970,147996
2023-04-20 10:35:00,126.4600,126.7199,126.3850,126.4985,87896
2023-04-20 10:30:00,126.8250,126.8500,126.4400,126.4700,94434
2023-04-20 10:25:00,126.5300,126.8900,126.3700,126.8100,101259
2023-04-20 10:20:00,126.5300,126.8500,126.2000,126.5750,171778
2023-04-20 10:15:00,126.3100,126.6400,126.0500,126.5350,168297
2023-04-20 10:10:00,126.0000,126.6500,126.0000,126.2700,166920
2023-04-20 10:05:00,126.5200,126.6300,125.8400,126.0000,279593
2023-04-20 10:00:00,126.8837,126.9100,126.2000,126.5363,254316
2023-04-20 09:55:00,127.3600,127.6350,126.7192,126.8700,232549
2023-04-20 09:50:00,127.9700,128.2900,127.2401,127.3300,240617
2023-04-20 09:45:00,128.2900,128.6400,127.9500,128.0000,218265
2023-04-20 09:40:00,128.3100,129.1800,127.8300,128.2300,377390
2023-04-20 09:35:00,130.1500,130.9800,128.3000,128.3600,687094
2023-04-20 09:30:00,129.8000,130.5000,129.2500,130.2800,18218
2023-04-20 09:25:00,129.6500,130.0100,129.5500,129.7500,46879
